median_income,housing_median_age,total_rooms,ocean_proximity,median_house_value
1.7348,43.0,1007.0,3.0,1.375
0.9506,40.0,624.0,3.0,1.875
1.775,40.0,946.0,3.0,1.125
0.9218,21.0,896.0,3.0,1.719
1.5045,43.0,1868.0,3.0,0.938
1.1108,41.0,3221.0,3.0,0.975
1.2475,52.0,1630.0,3.0,1.042
1.6098,52.0,1170.0,3.0,0.875
1.4113,52.0,945.0,3.0,0.831
1.5057,52.0,1238.0,3.0,0.875
0.8172,52.0,1489.0,3.0,0.853
1.2171,52.0,1387.0,3.0,0.803
2.5625,2.0,158.0,3.0,0.6
3.3929,52.0,1121.0,3.0,0.757
6.1183,49.0,135.0,3.0,0.75
0.9011,50.0,760.0,3.0,0.861
1.191,52.0,1224.0,3.0,0.761
2.5938,48.0,828.0,3.0,0.735
1.1667,52.0,1010.0,3.0,0.784
0.8056,48.0,1455.0,3.0,0.844
2.6094,52.0,1027.0,3.0,0.813
1.8516,52.0,572.0,3.0,0.85
0.9802,46.0,2801.0,3.0,1.292
1.7719,26.0,768.0,3.0,0.825
0.7286,46.0,935.0,3.0,0.952
1.75,49.0,844.0,3.0,0.75
0.4999,46.0,12.0,3.0,0.675
2.483,20.0,835.0,3.0,1.375
0.9241,17.0,1237.0,3.0,1.775
2.4464,36.0,2914.0,3.0,1.021
1.1111,19.0,1207.0,3.0,1.083
0.8026,23.0,1745.0,3.0,1.125
2.0114,38.0,684.0,3.0,1.313
1.5,17.0,924.0,3.0,1.625
1.1667,52.0,210.0,3.0,1.125
1.5208,52.0,340.0,3.0,1.125
0.8075,52.0,386.0,3.0,1.375
1.8088,35.0,948.0,3.0,1.188
2.4083,52.0,773.0,3.0,0.982
0.977,40.0,880.0,3.0,1.188
0.76,10.0,875.0,3.0,1.625
0.9722,10.0,105.0,3.0,1.375
1.2434,52.0,249.0,3.0,5.00001
2.0938,16.0,994.0,3.0,1.625
0.8668,52.0,215.0,3.0,1.375
0.75,52.0,96.0,3.0,1.625
2.6354,27.0,1055.0,3.0,1.875
1.8477,39.0,1715.0,3.0,1.792
2.0096,36.0,5329.0,3.0,1.3
2.8345,31.0,4596.0,3.0,1.838
2.0062,29.0,335.0,3.0,1.25
1.2185,22.0,3682.0,3.0,1.7
2.6104,37.0,3633.0,3.0,1.931
2.4912,29.0,4656.0,3.0,2.578
3.2177,28.0,5806.0,3.0,2.734
3.125,39.0,854.0,3.0,2.375
2.5795,52.0,2155.0,3.0,3.5
2.8406,34.0,5871.0,3.0,3.357
4.9306,52.0,1509.0,3.0,3.134
3.2727,52.0,2026.0,3.0,2.685
3.1691,52.0,1758.0,3.0,2.594
3.9,52.0,3481.0,3.0,2.757
3.9063,28.0,3337.0,3.0,2.25
5.0917,52.0,1424.0,3.0,2.625
2.6429,32.0,3809.0,3.0,2.185
3.0233,26.0,3959.0,3.0,2.55
3.1484,52.0,2376.0,3.0,2.241
3.4722,35.0,1613.0,3.0,2.431
3.1429,52.0,1279.0,3.0,2.316
2.4234,28.0,5022.0,3.0,2.185
3.0897,52.0,4190.0,3.0,2.341
5.8596,50.0,2515.0,3.0,3.276
5.2868,47.0,3175.0,3.0,3.476
5.956,41.0,2576.0,3.0,3.661
4.9643,37.0,334.0,3.0,3.35
6.3434,52.0,2800.0,3.0,3.736
5.1773,52.0,3529.0,3.0,3.895
7.2354,52.0,2612.0,3.0,3.911
5.457,28.0,5287.0,3.0,3.373
7.5,50.0,2935.0,3.0,2.952
6.0194,44.0,3424.0,3.0,2.923
7.5544,40.0,4991.0,3.0,4.115
6.0666,30.0,2211.0,3.0,3.115
7.0548,34.0,3038.0,3.0,3.259
11.6017,18.0,1617.0,3.0,3.926
7.4882,35.0,2865.0,3.0,3.193
6.8976,34.0,5065.0,3.0,3.333
8.2049,28.0,1326.0,3.0,3.352
8.401,26.0,1589.0,3.0,3.512
6.8538,29.0,1791.0,3.0,3.689
8.317,32.0,1835.0,3.0,3.659
7.0175,37.0,1229.0,3.0,3.667
6.3302,39.0,3770.0,3.0,3.628
6.3624,30.0,292.0,3.0,4.833
7.0549,52.0,2375.0,3.0,3.314
6.7851,45.0,2964.0,3.0,3.235
2.8929,50.0,2833.0,3.0,2.167
3.0812,38.0,2254.0,3.0,2.331
5.2402,52.0,1389.0,3.0,2.964
6.5217,52.0,1971.0,3.0,2.737
3.2632,52.0,2183.0,3.0,2.277
3.0298,52.0,2286.0,3.0,1.996
4.5428,52.0,2721.0,3.0,2.398
4.072,52.0,2024.0,3.0,2.701
5.3509,52.0,2944.0,3.0,3.021
3.1603,52.0,2033.0,3.0,2.695
4.7708,52.0,1433.0,3.0,3.147
8.1564,52.0,2927.0,3.0,3.901
8.8793,52.0,2315.0,3.0,4.103
6.8591,52.0,2485.0,3.0,3.524
6.0302,52.0,1490.0,3.0,2.873
7.508,52.0,2814.0,3.0,3.487
2.7477,52.0,2093.0,3.0,2.438
2.1944,52.0,888.0,3.0,2.115
3.0149,52.0,2087.0,3.0,2.184
3.675,52.0,2513.0,3.0,2.699
3.225,46.0,3232.0,3.0,2.188
2.9345,42.0,4120.0,3.0,2.25
2.1429,43.0,2364.0,3.0,2.5
1.6121,41.0,1471.0,3.0,1.714
1.3929,29.0,2468.0,3.0,1.938
2.3173,27.0,1632.0,3.0,1.25
1.7772,45.0,1786.0,3.0,0.975
2.6458,50.0,629.0,3.0,1.25
2.181,52.0,1339.0,3.0,1.388
2.2303,36.0,1678.0,3.0,1.167
1.6504,43.0,2344.0,3.0,1.518
2.2697,52.0,996.0,3.0,1.27
2.1563,52.0,1591.0,3.0,1.286
2.1348,52.0,1586.0,3.0,1.406
2.6292,47.0,2046.0,3.0,1.827
2.3833,52.0,1192.0,3.0,1.469
2.957,52.0,1803.0,3.0,1.228
2.5238,49.0,2838.0,3.0,1.693
1.9375,52.0,783.0,3.0,1.266
1.9028,51.0,1590.0,3.0,1.279
2.25,50.0,1746.0,3.0,1.235
2.3929,52.0,1252.0,3.0,1.119
2.1917,43.0,5963.0,3.0,1.128
2.9357,52.0,1783.0,3.0,1.079
1.8854,30.0,999.0,3.0,1.375
2.1638,39.0,1469.0,3.0,1.055
2.125,47.0,1372.0,3.0,0.955
3.375,52.0,674.0,3.0,1.161
2.2542,43.0,1626.0,3.0,1.122
2.1,51.0,175.0,3.0,0.75
1.6,39.0,461.0,3.0,1.125
3.625,52.0,902.0,3.0,1.25
1.6929,20.0,2373.0,3.0,1.15
1.6471,52.0,391.0,3.0,0.95
2.59,52.0,1137.0,3.0,0.964
2.57,52.0,769.0,3.0,0.72
2.6429,52.0,472.0,3.0,0.713
3.0257,52.0,862.0,3.0,0.808
1.4886,50.0,1920.0,3.0,1.288
1.9338,43.0,1420.0,3.0,1.125
1.4844,52.0,986.0,3.0,1.194
1.6009,44.0,2340.0,3.0,1.181
2.0375,48.0,1696.0,3.0,1.225
2.293,49.0,1175.0,3.0,1.063
2.1494,37.0,2343.0,3.0,1.325
1.6198,30.0,610.0,3.0,1.227
1.3281,40.0,930.0,3.0,1.133
3.5156,44.0,1487.0,3.0,1.095
3.9048,52.0,3424.0,3.0,1.647
3.0893,52.0,762.0,3.0,1.25
2.6042,46.0,2366.0,3.0,1.247
2.5,49.0,1826.0,3.0,1.367
2.7969,38.0,3049.0,3.0,1.417
2.8321,29.0,1640.0,3.0,1.5
2.9583,47.0,1543.0,3.0,1.388
2.8365,34.0,2364.0,3.0,1.392
2.875,35.0,1745.0,3.0,1.438
3.0682,39.0,2003.0,3.0,1.565
3.0757,39.0,2018.0,3.0,1.51
4.9559,43.0,3045.0,3.0,2.73
4.7721,52.0,1547.0,3.0,2.171
3.4861,52.0,3519.0,3.0,1.871
5.1184,41.0,2070.0,3.0,2.396
4.0977,48.0,1321.0,3.0,2.297
4.744,48.0,1694.0,3.0,2.573
4.2727,46.0,1938.0,3.0,2.469
2.9844,50.0,968.0,3.0,1.799
4.1739,40.0,1060.0,3.0,1.696
3.8487,46.0,2041.0,3.0,2.033
4.0114,52.0,1813.0,3.0,2.634
4.6563,45.0,2718.0,3.0,2.318
2.9297,28.0,3144.0,3.0,1.405
2.3036,35.0,1802.0,3.0,1.26
2.6667,49.0,882.0,3.0,1.22
2.619,44.0,1621.0,3.0,1.347
2.4167,45.0,2115.0,3.0,1.394
2.7788,45.0,2021.0,3.0,1.154
2.7352,46.0,2239.0,3.0,1.373
1.8472,52.0,1477.0,3.0,1.37
2.6583,52.0,1056.0,3.0,1.426
3.0536,49.0,898.0,3.0,1.375
2.3906,44.0,2968.0,3.0,1.117
1.7188,43.0,1702.0,3.0,1.268
2.625,47.0,881.0,3.0,1.113
2.8015,40.0,494.0,3.0,1.148
1.7276,50.0,1776.0,3.0,1.023
2.0801,44.0,1678.0,3.0,1.319
2.489,51.0,1637.0,3.0,1.191
1.7546,52.0,1420.0,3.0,0.806
4.0904,52.0,591.0,3.0,0.806
2.6765,52.0,745.0,3.0,0.888
2.4338,49.0,2272.0,3.0,1.024
2.3309,46.0,1234.0,3.0,0.987
2.2604,43.0,1017.0,3.0,1.0
1.8039,42.0,932.0,3.0,0.923
2.2562,39.0,2689.0,3.0,0.948
2.0562,41.0,1547.0,3.0,1.02
3.5398,52.0,2300.0,3.0,1.584
3.1167,39.0,1752.0,3.0,1.216
2.5401,50.0,1867.0,3.0,1.291
2.898,43.0,2430.0,3.0,1.214
2.3125,44.0,1729.0,3.0,1.028
2.875,52.0,1026.0,3.0,1.6
3.3715,52.0,2170.0,3.0,1.439
3.5114,52.0,2329.0,3.0,1.512
4.3125,52.0,2492.0,3.0,1.644
3.22,52.0,2198.0,3.0,1.565
3.875,33.0,142.0,3.0,2.25
5.2328,49.0,1183.0,3.0,1.742
3.7262,52.0,1070.0,3.0,1.669
4.5893,45.0,1766.0,3.0,1.635
5.2578,39.0,617.0,3.0,2.53
7.0875,41.0,1411.0,3.0,2.407
3.9712,46.0,2109.0,3.0,2.081
2.9514,47.0,1229.0,3.0,1.981
2.6667,50.0,954.0,3.0,1.728
5.4446,37.0,1643.0,3.0,3.367
6.2838,34.0,1355.0,3.0,3.182
6.7527,23.0,2317.0,3.0,2.858
7.0712,24.0,2459.0,3.0,2.93
5.9849,22.0,12842.0,3.0,3.71
3.6875,42.0,1524.0,3.0,1.573
2.875,30.0,3326.0,3.0,1.353
3.4205,43.0,1985.0,3.0,1.367
3.2984,50.0,1642.0,3.0,1.607
3.875,49.0,893.0,3.0,1.406
4.175,52.0,653.0,3.0,1.44
4.7708,48.0,977.0,3.0,1.563
3.5739,45.0,2324.0,3.0,1.76
3.0958,39.0,1583.0,3.0,1.458
3.3958,39.0,1612.0,3.0,1.419
1.871,31.0,2424.0,3.0,0.907
1.9356,41.0,1594.0,3.0,0.906
2.1842,47.0,2118.0,3.0,1.079
2.2917,37.0,1575.0,3.0,1.07
2.4333,38.0,1764.0,3.0,0.982
1.9479,50.0,1187.0,3.0,0.895
3.9063,52.0,754.0,3.0,0.938
1.8407,49.0,2308.0,3.0,0.967
2.0786,27.0,909.0,3.0,0.975
2.8125,42.0,1180.0,3.0,0.973
1.8913,43.0,2018.0,3.0,0.912
1.7056,49.0,1368.0,3.0,0.914
2.2768,52.0,2744.0,3.0,0.962
3.2552,51.0,2107.0,3.0,1.201
2.0556,52.0,1748.0,3.0,1.0
2.4659,52.0,2024.0,3.0,0.947
1.75,47.0,1116.0,3.0,0.857
2.0469,41.0,2036.0,3.0,0.893
2.7159,45.0,1852.0,3.0,1.014
1.2083,41.0,921.0,3.0,0.725
1.925,45.0,995.0,3.0,0.741
1.5809,36.0,606.0,3.0,0.7
1.4097,37.0,2680.0,3.0,0.846
0.7683,38.0,1493.0,3.0,0.818
1.3194,19.0,2207.0,3.0,0.814
0.8012,28.0,856.0,3.0,0.818
1.9479,26.0,1293.0,3.0,0.858
1.1765,36.0,847.0,3.0,0.871
2.3456,42.0,541.0,3.0,0.835
2.1538,44.0,1066.0,3.0,0.797
2.5139,43.0,707.0,3.0,0.834
1.2625,45.0,1528.0,3.0,0.847
2.9063,42.0,909.0,3.0,0.8
2.5192,43.0,1391.0,3.0,0.764
2.1111,44.0,548.0,3.0,0.797
2.455,42.0,4074.0,3.0,0.824
2.4028,41.0,1613.0,3.0,0.977
2.15,47.0,463.0,3.0,0.972
2.4776,43.0,818.0,3.0,1.016
2.1587,43.0,1473.0,3.0,0.865
1.8438,35.0,504.0,3.0,0.905
3.0298,46.0,1026.0,3.0,1.076
2.25,46.0,769.0,3.0,0.842
2.2467,46.0,2103.0,3.0,0.889
4.0469,45.0,330.0,3.0,0.807
1.325,46.0,941.0,3.0,0.871
2.1731,45.0,990.0,3.0,0.82
1.9167,36.0,1126.0,3.0,0.828
2.069,43.0,1036.0,3.0,0.846
1.712,36.0,1047.0,3.0,0.821
2.5625,33.0,1280.0,3.0,0.893
1.9821,43.0,1587.0,3.0,0.983
2.5043,41.0,1257.0,3.0,0.923
2.3281,44.0,1218.0,3.0,0.888
1.4375,48.0,1751.0,3.0,0.9
2.5122,45.0,2299.0,3.0,0.955
1.5625,38.0,2457.0,3.0,0.917
3.1587,47.0,998.0,3.0,1.004
1.8426,40.0,1685.0,3.0,0.948
4.6696,46.0,1827.0,3.0,1.643
2.4598,36.0,2781.0,3.0,1.555
6.0749,39.0,1823.0,3.0,1.969
4.8304,27.0,2229.0,3.0,2.791
5.5701,34.0,1513.0,3.0,2.528
5.37,26.0,3266.0,3.0,2.754
6.86,33.0,1809.0,3.0,2.5
7.6923,28.0,794.0,3.0,3.298
4.0313,36.0,690.0,3.0,1.955
6.8323,33.0,1334.0,3.0,2.559
4.975,30.0,414.0,3.0,3.111
5.3602,36.0,768.0,3.0,3.3
5.0,41.0,4400.0,3.0,2.489
2.925,46.0,954.0,3.0,1.429
3.8913,40.0,1445.0,3.0,1.263
3.225,44.0,1938.0,3.0,1.358
3.1458,41.0,856.0,3.0,1.306
2.537,24.0,1790.0,3.0,1.079
2.5568,44.0,617.0,3.0,1.111
3.5083,43.0,1383.0,3.0,1.22
3.3125,49.0,1325.0,3.0,1.18
1.8235,40.0,1227.0,3.0,0.952
3.8047,35.0,667.0,3.0,0.943
2.2917,34.0,1223.0,3.0,0.925
2.4962,37.0,1379.0,3.0,0.918
4.0417,43.0,1534.0,3.0,1.094
3.4844,46.0,1029.0,3.0,1.295
4.1458,52.0,771.0,3.0,1.434
2.625,47.0,824.0,3.0,0.982
2.0227,44.0,1097.0,3.0,1.031
3.3333,49.0,1283.0,3.0,2.768
5.338,52.0,1604.0,3.0,2.709
3.4732,52.0,2248.0,3.0,2.462
3.5125,38.0,2263.0,3.0,2.242
3.1375,52.0,1571.0,3.0,2.291
2.8036,46.0,1520.0,3.0,2.116
4.5824,15.0,5083.0,3.0,2.561
3.0208,36.0,1077.0,3.0,2.063
4.0875,52.0,1248.0,3.0,2.213
4.5268,42.0,1342.0,3.0,2.074
1.7375,37.0,3061.0,3.0,3.5
3.1795,52.0,3171.0,3.0,2.182
3.8672,50.0,1211.0,3.0,2.167
5.1675,52.0,979.0,3.0,2.706
5.1696,52.0,2269.0,3.0,2.614
4.2614,52.0,1844.0,3.0,2.613
5.0551,52.0,2178.0,3.0,2.322
5.6228,42.0,1650.0,3.0,3.754
7.8864,52.0,1927.0,3.0,3.573
7.9556,52.0,2079.0,3.0,3.744
6.174,52.0,1803.0,3.0,3.588
6.9414,52.0,2041.0,3.0,4.175
8.8342,52.0,3046.0,3.0,4.305
7.1754,52.0,2318.0,3.0,3.629
10.0825,52.0,2003.0,3.0,3.97
4.9083,52.0,2261.0,3.0,3.468
5.7912,52.0,1225.0,3.0,3.271
4.5893,52.0,2315.0,3.0,2.901
5.4171,52.0,2070.0,3.0,2.92
4.125,52.0,2616.0,3.0,2.709
7.266,52.0,2640.0,3.0,3.711
5.3989,52.0,1978.0,3.0,3.356
7.8336,37.0,2220.0,3.0,3.713
6.1593,41.0,1125.0,3.0,3.44
6.381,52.0,3078.0,3.0,3.422
6.6828,52.0,3706.0,3.0,3.709
7.5385,37.0,3000.0,3.0,3.5
6.7138,42.0,2863.0,3.0,3.686
6.2425,52.0,2551.0,3.0,3.918
5.7979,52.0,2255.0,3.0,4.153
4.2813,52.0,3360.0,3.0,2.849
3.5417,52.0,1693.0,3.0,2.875
3.0132,44.0,2252.0,3.0,2.729
4.1429,52.0,2495.0,3.0,2.596
4.1912,52.0,1193.0,3.0,2.545
3.9167,52.0,1172.0,3.0,2.356
3.8897,52.0,2159.0,3.0,2.184
3.1065,48.0,2365.0,3.0,2.292
2.9926,46.0,1895.0,3.0,1.921
3.556,52.0,1650.0,3.0,1.793
1.475,45.0,453.0,3.0,1.875
1.6971,52.0,409.0,3.0,1.388
2.1705,10.0,503.0,3.0,1.5
2.75,50.0,499.0,3.0,1.406
2.5682,52.0,477.0,3.0,1.2
2.9,46.0,1647.0,3.0,1.448
2.2208,52.0,3123.0,3.0,1.448
3.2344,52.0,957.0,3.0,2.455
3.5156,52.0,589.0,3.0,2.0
1.9805,49.0,2026.0,3.0,1.737
2.6684,50.0,1829.0,3.0,1.856
3.875,52.0,895.0,3.0,1.826
3.006,52.0,1909.0,3.0,2.279
2.543,46.0,3022.0,3.0,2.207
2.8676,46.0,1777.0,3.0,2.12
2.1907,52.0,2803.0,3.0,2.714
1.7778,30.0,1465.0,3.0,2.688
2.52,37.0,2619.0,3.0,2.778
4.2788,52.0,1149.0,3.0,3.325
2.944,52.0,2363.0,3.0,3.389
1.725,52.0,2604.0,3.0,2.875
5.2289,41.0,685.0,3.0,3.846
2.5562,42.0,1756.0,3.0,3.714
0.949,52.0,1204.0,3.0,3.5
1.1696,52.0,609.0,3.0,5.00001
1.4012,52.0,1087.0,3.0,1.75
1.1859,52.0,2773.0,3.0,2.417
1.7464,35.0,3218.0,3.0,2.167
2.8846,49.0,1350.0,3.0,2.113
2.7372,52.0,3084.0,3.0,2.102
3.8594,52.0,938.0,3.0,1.964
3.5625,52.0,1813.0,3.0,1.917
2.2788,52.0,1233.0,3.0,1.823
2.537,44.0,2539.0,3.0,1.75
2.525,46.0,1267.0,3.0,1.659
1.9946,52.0,1665.0,3.0,1.569
2.8214,52.0,1659.0,3.0,1.643
2.6165,52.0,2225.0,3.0,1.5
1.9483,50.0,2485.0,3.0,1.505
1.9327,52.0,2031.0,3.0,1.699
1.9798,49.0,2932.0,3.0,1.474
2.4167,52.0,2246.0,3.0,1.527
2.5417,49.0,2052.0,3.0,1.827
3.3906,52.0,1999.0,3.0,1.793
2.5652,52.0,3007.0,3.0,1.577
2.2845,41.0,2214.0,3.0,1.531
2.6071,52.0,1088.0,3.0,2.5
3.15,52.0,834.0,3.0,2.063
2.6914,52.0,1769.0,3.0,2.188
1.8447,52.0,2307.0,3.0,1.982
1.6307,35.0,5161.0,3.0,2.536
2.9044,52.0,3497.0,3.0,2.574
2.9405,52.0,3774.0,3.0,2.895
3.3893,52.0,2888.0,3.0,2.417
3.0417,48.0,2153.0,3.0,4.896
7.0897,52.0,1389.0,3.0,4.462
5.0463,52.0,1709.0,3.0,4.563
1.7652,52.0,1587.0,3.0,3.368
7.8521,52.0,1668.0,3.0,5.00001
9.3959,52.0,3726.0,3.0,5.00001
5.3794,52.0,4048.0,3.0,3.769
3.2619,52.0,3618.0,3.0,3.096
2.7054,52.0,4076.0,3.0,1.823
2.2431,47.0,2077.0,3.0,1.727
1.9028,50.0,1279.0,3.0,1.508
1.5817,52.0,1974.0,3.0,1.536
2.2841,52.0,335.0,3.0,1.063
1.3785,47.0,1375.0,3.0,1.423
2.9018,52.0,610.0,3.0,1.194
1.73,44.0,1025.0,3.0,1.479
2.2625,48.0,2063.0,3.0,1.329
2.2106,35.0,1872.0,3.0,1.325
2.6997,52.0,3108.0,3.0,1.269
4.0018,14.0,7355.0,3.0,1.438
7.8772,52.0,2990.0,3.0,5.00001
11.8603,39.0,2492.0,3.0,5.00001
13.499,42.0,2991.0,3.0,5.00001
12.2138,52.0,3242.0,3.0,5.00001
8.1872,52.0,3051.0,3.0,4.661
12.3804,52.0,3494.0,3.0,5.00001
5.8948,52.0,1757.0,3.0,4.578
8.1194,52.0,2449.0,3.0,4.716
8.7477,52.0,1611.0,3.0,5.00001
6.155,52.0,3665.0,3.0,3.986
5.883,52.0,2474.0,3.0,3.407
5.2128,52.0,3037.0,3.0,2.899
4.7188,52.0,2269.0,3.0,3.353
5.2915,52.0,1316.0,3.0,3.33
2.6411,52.0,1153.0,3.0,2.41
3.3214,52.0,772.0,3.0,1.896
3.6417,52.0,1711.0,3.0,2.063
3.0161,52.0,2650.0,3.0,2.157
3.1771,52.0,1038.0,3.0,2.102
3.4531,52.0,1527.0,3.0,2.088
4.3098,52.0,859.0,3.0,1.979
3.3438,52.0,970.0,3.0,2.013
2.9213,52.0,1045.0,3.0,1.908
2.6806,52.0,1408.0,3.0,2.079
3.7708,52.0,1222.0,3.0,2.153
3.9444,45.0,1169.0,3.0,2.129
5.2601,13.0,2020.0,3.0,2.927
2.5444,30.0,4145.0,3.0,2.75
2.6447,42.0,2038.0,3.0,2.0
1.9427,42.0,1241.0,3.0,1.022
2.9688,52.0,1468.0,3.0,2.208
3.75,27.0,3997.0,3.0,2.428
5.1702,18.0,2873.0,3.0,2.654
2.5139,50.0,1487.0,3.0,2.19
2.9732,52.0,1670.0,3.0,2.821
5.5337,52.0,2252.0,3.0,3.72
4.1667,52.0,1731.0,3.0,2.258
2.7115,52.0,1710.0,3.0,2.208
3.3269,52.0,2388.0,3.0,2.345
3.2685,52.0,2156.0,3.0,2.542
4.7778,52.0,1565.0,3.0,3.518
4.226,52.0,1704.0,3.0,2.75
3.3571,52.0,1210.0,3.0,4.054
2.9899,52.0,2097.0,3.0,2.281
2.875,52.0,1848.0,3.0,2.34
2.3882,43.0,955.0,3.0,1.625
2.975,43.0,4329.0,3.0,2.434
5.1039,52.0,3011.0,3.0,2.738
4.1458,52.0,1049.0,3.0,2.485
3.4762,52.0,2504.0,3.0,2.44
2.6833,52.0,1846.0,3.0,2.409
5.75,52.0,1705.0,3.0,3.063
3.9632,50.0,1542.0,3.0,2.4
4.8711,27.0,4051.0,3.0,2.866
3.0718,52.0,2646.0,3.0,2.667
3.6719,49.0,2428.0,3.0,2.298
4.6094,52.0,2567.0,3.0,2.293
4.5213,21.0,7031.0,3.0,2.284
4.4562,25.0,1914.0,3.0,2.062
7.611,5.0,18634.0,3.0,3.507
3.2689,31.0,5785.0,3.0,2.31
3.567,52.0,2876.0,3.0,2.529
3.6875,28.0,6909.0,3.0,3.539
4.7695,23.0,5679.0,3.0,2.917
3.1972,20.0,1156.0,3.0,1.0
7.2634,12.0,14316.0,3.0,3.416
7.0568,5.0,3596.0,3.0,4.125
4.635,36.0,3541.0,3.0,2.486
5.3015,40.0,1808.0,3.0,2.549
4.9801,36.0,2879.0,3.0,2.415
5.4834,26.0,3204.0,3.0,2.952
6.187,31.0,3866.0,3.0,3.404
5.6194,32.0,2476.0,3.0,2.747
5.4639,35.0,2211.0,3.0,2.386
5.1498,35.0,2663.0,3.0,2.664
5.8382,30.0,2599.0,3.0,3.302
4.65,36.0,4569.0,3.0,2.068
4.3819,25.0,2973.0,3.0,2.092
3.7222,30.0,3115.0,3.0,1.958
5.2855,31.0,1843.0,3.0,2.535
4.3375,31.0,2053.0,3.0,2.418
5.2131,27.0,6740.0,3.0,2.525
6.005,30.0,1751.0,3.0,2.639
5.0519,38.0,1663.0,3.0,2.27
4.8237,38.0,3716.0,3.0,2.209
5.2497,32.0,2718.0,3.0,2.593
4.125,39.0,1420.0,3.0,2.325
4.6005,37.0,1893.0,3.0,2.316
3.5187,33.0,3906.0,3.0,2.094
3.0,32.0,3400.0,3.0,2.232
3.4934,25.0,3402.0,3.0,2.099
2.9861,33.0,4413.0,3.0,2.082
2.5362,29.0,2304.0,3.0,2.038
3.3021,36.0,2350.0,3.0,1.957
3.0964,31.0,5914.0,3.0,1.905
2.8512,43.0,1575.0,3.0,1.81
3.3478,42.0,1414.0,3.0,1.849
2.3958,37.0,848.0,3.0,1.908
3.5295,15.0,3051.0,3.0,2.422
4.8036,20.0,4296.0,3.0,1.883
3.851,52.0,2898.0,3.0,1.835
4.0662,52.0,1071.0,3.0,2.042
4.6042,51.0,2619.0,3.0,2.519
2.2,49.0,1494.0,3.0,1.875
4.1164,52.0,2260.0,3.0,1.982
3.95,52.0,1394.0,3.0,2.19
4.9135,52.0,1028.0,3.0,2.75
2.8355,45.0,3758.0,3.0,2.454
3.25,46.0,2163.0,3.0,1.775
2.8301,49.0,1699.0,3.0,1.716
3.7159,52.0,1555.0,3.0,1.833
2.5625,52.0,1114.0,3.0,1.75
3.8047,45.0,1498.0,3.0,1.567
3.375,45.0,726.0,3.0,1.575
3.244,38.0,890.0,3.0,1.798
4.0268,36.0,2639.0,3.0,2.055
3.3906,35.0,2562.0,3.0,1.789
5.5461,36.0,361.0,3.0,2.625
3.371,42.0,3008.0,3.0,1.65
3.5313,46.0,1369.0,3.0,1.597
3.663,5.0,1692.0,3.0,1.583
2.875,38.0,1007.0,3.0,1.448
4.0202,43.0,3783.0,3.0,1.663
4.5553,37.0,1507.0,3.0,1.91
3.4643,36.0,666.0,3.0,1.75
3.3431,10.0,2229.0,3.0,1.375
2.1898,28.0,2215.0,3.0,1.417
2.9097,31.0,1616.0,3.0,2.109
3.375,47.0,1190.0,3.0,1.983
2.8125,29.0,4169.0,3.0,1.574
5.0,52.0,2024.0,3.0,2.647
3.0673,38.0,1723.0,3.0,2.184
3.8125,43.0,2264.0,3.0,2.351
6.9096,33.0,1996.0,3.0,3.418
7.912,26.0,2862.0,3.0,3.673
3.8393,35.0,2183.0,3.0,2.435
4.0,35.0,1037.0,3.0,1.679
