cement,water,coarse_aggregate,fine_aggregate,age_days,strength
349.0,192.0,1047.0,806.9,3.0,15.05
380.0,228.0,932.0,594.0,180.0,40.76
237.5,228.0,932.0,594.0,7.0,26.26
380.0,228.0,932.0,594.0,7.0,32.82
332.5,228.0,932.0,594.0,180.0,39.78
190.0,228.0,932.0,670.0,180.0,46.93
237.5,228.0,932.0,594.0,90.0,33.12
304.0,228.0,932.0,670.0,90.0,49.19
139.6,192.0,1047.0,806.9,7.0,14.59
198.6,192.0,978.4,825.5,7.0,14.64
475.0,228.0,932.0,594.0,365.0,41.93
198.6,192.0,978.4,825.5,3.0,9.13
304.0,228.0,932.0,670.0,180.0,50.95
332.5,228.0,932.0,594.0,28.0,33.02
304.0,228.0,932.0,670.0,270.0,54.38
266.0,228.0,932.0,670.0,270.0,51.73
310.0,192.0,971.0,850.6,3.0,9.87
190.0,228.0,932.0,670.0,270.0,50.66
266.0,228.0,932.0,670.0,180.0,48.7
342.0,228.0,932.0,670.0,270.0,55.06
139.6,192.0,1047.0,806.9,360.0,44.7
332.5,228.0,932.0,594.0,7.0,30.28
190.0,228.0,932.0,670.0,28.0,40.86
485.0,146.0,1120.0,800.0,28.0,71.99
374.0,170.1,926.1,756.7,3.0,34.4
313.3,175.5,1046.9,611.8,3.0,28.8
425.0,153.5,852.1,887.1,3.0,33.4
425.0,151.4,936.0,803.7,3.0,36.3
375.0,126.6,852.1,992.6,3.0,29.0
475.0,181.1,852.1,781.5,3.0,37.8
469.0,137.8,852.1,840.5,3.0,40.2
425.0,153.5,852.1,887.1,3.0,33.4
388.6,157.9,852.1,925.7,3.0,28.1
531.3,141.8,852.1,893.7,3.0,41.3
425.0,153.5,852.1,887.1,3.0,33.4
318.8,155.7,852.1,880.4,3.0,25.2
401.8,147.4,946.8,852.1,3.0,41.1
362.6,164.9,944.7,755.8,3.0,35.3
323.7,183.8,942.7,659.9,3.0,28.3
379.5,153.9,1134.3,605.0,3.0,28.6
362.6,164.9,944.7,755.8,3.0,35.3
286.3,144.7,1004.6,803.7,3.0,24.4
362.6,164.9,944.7,755.8,3.0,35.3
439.0,186.0,884.9,707.9,3.0,39.3
389.9,145.9,944.7,755.8,3.0,40.6
362.6,164.9,944.7,755.8,3.0,35.3
337.9,174.9,944.7,755.8,3.0,24.1
374.0,170.1,926.1,756.7,7.0,46.2
313.3,175.5,1046.9,611.8,7.0,42.8
425.0,153.5,852.1,887.1,7.0,49.2
425.0,151.4,936.0,803.7,7.0,46.8
375.0,126.6,852.1,992.6,7.0,45.7
475.0,181.1,852.1,781.5,7.0,55.6
469.0,137.8,852.1,840.5,7.0,54.9
425.0,153.5,852.1,887.1,7.0,49.2
388.6,157.9,852.1,925.7,7.0,34.9
531.3,141.8,852.1,893.7,7.0,46.9
425.0,153.5,852.1,887.1,7.0,49.2
318.8,155.7,852.1,880.4,7.0,33.4
401.8,147.4,946.8,852.1,7.0,54.1
362.6,164.9,944.7,755.8,7.0,55.9
323.7,183.8,942.7,659.9,7.0,49.8
379.5,153.9,1134.3,605.0,7.0,47.1
362.6,164.9,944.7,755.8,7.0,55.9
286.3,144.7,1004.6,803.7,7.0,38.0
362.6,164.9,944.7,755.8,7.0,55.9
439.0,186.0,884.9,707.9,7.0,56.1
389.9,145.9,944.7,755.8,7.0,59.09
362.6,164.9,944.7,755.8,7.0,22.9
337.9,174.9,944.7,755.8,7.0,35.1
374.0,170.1,926.1,756.7,28.0,61.09
313.3,175.5,1046.9,611.8,28.0,59.8
425.0,153.5,852.1,887.1,28.0,60.29
425.0,151.4,936.0,803.7,28.0,61.8
375.0,126.6,852.1,992.6,28.0,56.7
475.0,181.1,852.1,781.5,28.0,68.3
469.0,137.8,852.1,840.5,28.0,66.9
425.0,153.5,852.1,887.1,28.0,60.29
388.6,157.9,852.1,925.7,28.0,50.7
531.3,141.8,852.1,893.7,28.0,56.4
425.0,153.5,852.1,887.1,28.0,60.29
318.8,155.7,852.1,880.4,28.0,55.5
401.8,147.4,946.8,852.1,28.0,68.5
362.6,164.9,944.7,755.8,28.0,71.3
323.7,183.8,942.7,659.9,28.0,74.7
379.5,153.9,1134.3,605.0,28.0,52.2
362.6,164.9,944.7,755.8,28.0,71.3
286.3,144.7,1004.6,803.7,28.0,67.7
362.6,164.9,944.7,755.8,28.0,71.3
439.0,186.0,884.9,707.9,28.0,66.0
389.9,145.9,944.7,755.8,28.0,74.5
362.6,164.9,944.7,755.8,28.0,71.3
337.9,174.9,944.7,755.8,28.0,49.9
374.0,170.1,926.1,756.7,56.0,63.4
313.3,175.5,1046.9,611.8,56.0,64.9
425.0,153.5,852.1,887.1,56.0,64.3
425.0,151.4,936.0,803.7,56.0,64.9
375.0,126.6,852.1,992.6,56.0,60.2
475.0,181.1,852.1,781.5,56.0,72.3
469.0,137.8,852.1,840.5,56.0,69.3
425.0,153.5,852.1,887.1,56.0,64.3
388.6,157.9,852.1,925.7,56.0,55.2
531.3,141.8,852.1,893.7,56.0,58.8
425.0,153.5,852.1,887.1,56.0,64.3
318.8,155.7,852.1,880.4,56.0,66.1
401.8,147.4,946.8,852.1,56.0,73.7
362.6,164.9,944.7,755.8,56.0,77.3
323.7,183.8,942.7,659.9,56.0,80.2
379.5,153.9,1134.3,605.0,56.0,54.9
362.6,164.9,944.7,755.8,56.0,77.3
286.3,144.7,1004.6,803.7,56.0,72.99
362.6,164.9,944.7,755.8,56.0,77.3
439.0,186.0,884.9,707.9,56.0,71.7
389.9,145.9,944.7,755.8,56.0,79.4
362.6,164.9,944.7,755.8,56.0,77.3
337.9,174.9,944.7,755.8,56.0,59.89
374.0,170.1,926.1,756.7,91.0,64.9
313.3,175.5,1046.9,611.8,91.0,66.6
425.0,153.5,852.1,887.1,91.0,65.2
425.0,151.4,936.0,803.7,91.0,66.7
375.0,126.6,852.1,992.6,91.0,62.5
475.0,181.1,852.1,781.5,91.0,74.19
469.0,137.8,852.1,840.5,91.0,70.7
425.0,153.5,852.1,887.1,91.0,65.2
388.6,157.9,852.1,925.7,91.0,57.6
531.3,141.8,852.1,893.7,91.0,59.2
425.0,153.5,852.1,887.1,91.0,65.2
318.8,155.7,852.1,880.4,91.0,68.1
401.8,147.4,946.8,852.1,91.0,75.5
362.6,164.9,944.7,755.8,91.0,79.3
379.5,153.9,1134.3,605.0,91.0,56.5
362.6,164.9,944.7,755.8,91.0,79.3
286.3,144.7,1004.6,803.7,91.0,76.8
362.6,164.9,944.7,755.8,91.0,79.3
439.0,186.0,884.9,707.9,91.0,73.3
389.9,145.9,944.7,755.8,91.0,82.6
362.6,164.9,944.7,755.8,91.0,79.3
337.9,174.9,944.7,755.8,91.0,67.8
222.4,189.3,967.1,870.3,3.0,11.58
222.4,189.3,967.1,870.3,14.0,24.45
222.4,189.3,967.1,870.3,28.0,24.89
222.4,189.3,967.1,870.3,56.0,29.45
222.4,189.3,967.1,870.3,100.0,40.71
233.8,197.9,947.0,852.2,3.0,10.38
233.8,197.9,947.0,852.2,14.0,22.14
233.8,197.9,947.0,852.2,28.0,22.84
233.8,197.9,947.0,852.2,56.0,27.66
233.8,197.9,947.0,852.2,100.0,34.56
194.7,165.6,1006.4,905.9,3.0,12.45
194.7,165.6,1006.4,905.9,14.0,24.99
194.7,165.6,1006.4,905.9,28.0,25.72
194.7,165.6,1006.4,905.9,56.0,33.96
194.7,165.6,1006.4,905.9,100.0,37.34
190.7,162.1,1090.0,804.0,3.0,15.04
190.7,162.1,1090.0,804.0,14.0,21.06
190.7,162.1,1090.0,804.0,28.0,26.4
190.7,162.1,1090.0,804.0,56.0,35.34
190.7,162.1,1090.0,804.0,100.0,40.57
212.1,180.3,1057.6,779.3,3.0,12.47
212.1,180.3,1057.6,779.3,14.0,20.92
212.1,180.3,1057.6,779.3,28.0,24.9
212.1,180.3,1057.6,779.3,56.0,34.2
212.1,180.3,1057.6,779.3,100.0,39.61
230.0,195.5,1029.4,758.6,3.0,10.03
230.0,195.5,1029.4,758.6,14.0,20.08
230.0,195.5,1029.4,758.6,28.0,24.48
230.0,195.5,1029.4,758.6,56.0,31.54
230.0,195.5,1029.4,758.6,100.0,35.34
190.3,161.9,1088.1,802.6,3.0,9.45
190.3,161.9,1088.1,802.6,14.0,22.72
190.3,161.9,1088.1,802.6,28.0,28.47
190.3,161.9,1088.1,802.6,56.0,38.56
190.3,161.9,1088.1,802.6,100.0,40.39
166.1,176.5,1058.6,780.1,3.0,10.76
166.1,176.5,1058.6,780.1,14.0,25.48
166.1,176.5,1058.6,780.1,28.0,21.54
166.1,176.5,1058.6,780.1,56.0,28.63
166.1,176.5,1058.6,780.1,100.0,33.54
168.0,121.8,1058.7,780.1,3.0,7.75
168.0,121.8,1058.7,780.1,14.0,17.82
168.0,121.8,1058.7,780.1,28.0,24.24
168.0,121.8,1058.7,780.1,56.0,32.85
168.0,121.8,1058.7,780.1,100.0,39.23
213.7,181.7,1065.8,785.4,3.0,18.0
213.7,181.7,1065.8,785.4,14.0,30.39
213.7,181.7,1065.8,785.4,28.0,45.71
213.7,181.7,1065.8,785.4,56.0,50.77
213.7,181.7,1065.8,785.4,100.0,53.9
213.8,181.7,1066.0,785.5,3.0,13.18
213.8,181.7,1066.0,785.5,14.0,17.84
213.8,181.7,1066.0,785.5,28.0,40.23
213.8,181.7,1066.0,785.5,56.0,47.13
213.8,181.7,1066.0,785.5,100.0,49.97
229.7,195.2,1028.1,757.6,3.0,13.36
229.7,195.2,1028.1,757.6,14.0,22.32
229.7,195.2,1028.1,757.6,28.0,24.54
229.7,195.2,1028.1,757.6,56.0,31.35
229.7,195.2,1028.1,757.6,100.0,40.86
238.1,186.7,949.9,847.0,3.0,19.93
238.1,186.7,949.9,847.0,14.0,25.69
238.1,186.7,949.9,847.0,28.0,30.23
238.1,186.7,949.9,847.0,56.0,39.59
238.1,186.7,949.9,847.0,100.0,44.3
250.0,187.4,956.9,861.2,3.0,13.82
250.0,187.4,956.9,861.2,14.0,24.92
250.0,187.4,956.9,861.2,28.0,29.22
250.0,187.4,956.9,861.2,56.0,38.33
250.0,187.4,956.9,861.2,100.0,42.35
212.5,159.3,1007.8,903.6,3.0,13.54
212.5,159.3,1007.8,903.6,14.0,26.31
212.5,159.3,1007.8,903.6,28.0,31.64
212.5,159.3,1007.8,903.6,56.0,42.55
212.5,159.3,1007.8,903.6,100.0,42.92
212.6,159.4,1003.8,903.8,3.0,13.33
212.6,159.4,1003.8,903.8,14.0,25.37
212.6,159.4,1003.8,903.8,28.0,37.4
212.6,159.4,1003.8,903.8,56.0,44.4
212.6,159.4,1003.8,903.8,100.0,47.74
212.0,159.0,1085.4,799.5,3.0,19.52
212.0,159.0,1085.4,799.5,14.0,31.35
212.0,159.0,1085.4,799.5,28.0,38.5
212.0,159.0,1085.4,799.5,56.0,45.08
212.0,159.0,1085.4,799.5,100.0,47.82
231.8,174.0,1056.4,778.5,3.0,15.44
231.8,174.0,1056.4,778.5,14.0,26.77
231.8,174.0,1056.4,778.5,28.0,33.73
231.8,174.0,1056.4,778.5,56.0,42.7
231.8,174.0,1056.4,778.5,100.0,45.84
251.4,188.5,1028.4,757.7,3.0,17.22
251.4,188.5,1028.4,757.7,14.0,29.93
251.4,188.5,1028.4,757.7,28.0,29.65
251.4,188.5,1028.4,757.7,56.0,36.97
251.4,188.5,1028.4,757.7,100.0,43.58
251.4,188.5,1028.4,757.7,3.0,13.12
251.4,188.5,1028.4,757.7,14.0,24.43
251.4,188.5,1028.4,757.7,28.0,32.66
251.4,188.5,1028.4,757.7,56.0,36.64
251.4,188.5,1028.4,757.7,100.0,44.21
181.4,169.6,1055.6,777.8,3.0,13.62
181.4,169.6,1055.6,777.8,14.0,21.6
181.4,169.6,1055.6,777.8,28.0,27.77
181.4,169.6,1055.6,777.8,56.0,35.57
181.4,169.6,1055.6,777.8,100.0,45.37
182.0,170.2,1059.4,780.7,3.0,7.32
182.0,170.2,1059.4,780.7,14.0,21.5
182.0,170.2,1059.4,780.7,28.0,31.27
182.0,170.2,1059.4,780.7,56.0,43.5
182.0,170.2,1059.4,780.7,100.0,48.67
168.9,158.3,1080.8,796.2,3.0,7.4
168.9,158.3,1080.8,796.2,14.0,23.51
168.9,158.3,1080.8,796.2,28.0,31.12
168.9,158.3,1080.8,796.2,56.0,39.15
168.9,158.3,1080.8,796.2,100.0,48.15
290.4,168.1,961.2,865.0,3.0,22.5
290.4,168.1,961.2,865.0,14.0,34.67
290.4,168.1,961.2,865.0,28.0,34.74
290.4,168.1,961.2,865.0,56.0,45.08
290.4,168.1,961.2,865.0,100.0,48.97
277.1,160.6,973.9,875.6,3.0,23.14
277.1,160.6,973.9,875.6,14.0,41.89
277.1,160.6,973.9,875.6,28.0,48.28
277.1,160.6,973.9,875.6,56.0,51.04
277.1,160.6,973.9,875.6,100.0,55.64
295.7,171.5,955.1,859.2,3.0,22.95
295.7,171.5,955.1,859.2,14.0,35.23
295.7,171.5,955.1,859.2,28.0,39.94
295.7,171.5,955.1,859.2,56.0,48.72
295.7,171.5,955.1,859.2,100.0,52.04
251.8,146.1,1006.0,899.8,3.0,21.02
251.8,146.1,1006.0,899.8,14.0,33.36
251.8,146.1,1006.0,899.8,28.0,33.94
251.8,146.1,1006.0,899.8,56.0,44.14
251.8,146.1,1006.0,899.8,100.0,45.37
249.1,158.1,987.8,889.0,3.0,15.36
249.1,158.1,987.8,889.0,14.0,28.68
249.1,158.1,987.8,889.0,28.0,30.85
249.1,158.1,987.8,889.0,56.0,42.03
249.1,158.1,987.8,889.0,100.0,51.06
252.3,146.3,987.8,889.0,3.0,21.78
252.3,146.3,987.8,889.0,14.0,42.29
252.3,146.3,987.8,889.0,28.0,50.6
252.3,146.3,987.8,889.0,56.0,55.83
252.3,146.3,987.8,889.0,100.0,60.95
246.8,143.3,1086.8,800.9,3.0,23.52
246.8,143.3,1086.8,800.9,14.0,42.22
246.8,143.3,1086.8,800.9,28.0,52.5
246.8,143.3,1086.8,800.9,56.0,60.32
246.8,143.3,1086.8,800.9,100.0,66.42
275.1,159.5,1053.6,777.5,3.0,23.8
275.1,159.5,1053.6,777.5,14.0,38.77
275.1,159.5,1053.6,777.5,28.0,51.33
275.1,159.5,1053.6,777.5,56.0,56.85
275.1,159.5,1053.6,777.5,100.0,58.61
297.2,174.8,1022.8,753.5,3.0,21.91
297.2,174.8,1022.8,753.5,14.0,36.99
297.2,174.8,1022.8,753.5,28.0,47.4
297.2,174.8,1022.8,753.5,56.0,51.96
297.2,174.8,1022.8,753.5,100.0,56.74
213.7,154.8,1053.5,776.4,3.0,17.57
213.7,154.8,1053.5,776.4,14.0,33.73
213.7,154.8,1053.5,776.4,28.0,40.15
213.7,154.8,1053.5,776.4,56.0,46.64
213.7,154.8,1053.5,776.4,100.0,50.08
213.5,154.6,1052.3,775.5,3.0,17.37
213.5,154.6,1052.3,775.5,14.0,33.7
213.5,154.6,1052.3,775.5,28.0,45.94
213.5,154.6,1052.3,775.5,56.0,51.43
213.5,154.6,1052.3,775.5,100.0,59.3
277.2,160.7,1061.7,782.5,3.0,30.45
277.2,160.7,1061.7,782.5,14.0,47.71
277.2,160.7,1061.7,782.5,28.0,63.14
277.2,160.7,1061.7,782.5,56.0,66.82
277.2,160.7,1061.7,782.5,100.0,66.95
218.2,140.8,1075.7,792.7,3.0,27.42
218.2,140.8,1075.7,792.7,14.0,35.96
218.2,140.8,1075.7,792.7,28.0,55.51
218.2,140.8,1075.7,792.7,56.0,61.99
218.2,140.8,1075.7,792.7,100.0,63.53
214.9,155.6,1014.3,780.6,3.0,18.02
214.9,155.6,1014.3,780.6,14.0,38.6
214.9,155.6,1014.3,780.6,28.0,52.2
214.9,155.6,1014.3,780.6,56.0,53.96
214.9,155.6,1014.3,780.6,100.0,56.63
218.9,158.5,1078.7,794.9,3.0,15.34
218.9,158.5,1078.7,794.9,14.0,26.05
218.9,158.5,1078.7,794.9,28.0,30.22
218.9,158.5,1078.7,794.9,56.0,37.27
218.9,158.5,1078.7,794.9,100.0,46.23
376.0,214.6,1003.5,762.4,3.0,16.28
376.0,214.6,1003.5,762.4,14.0,25.62
376.0,214.6,1003.5,762.4,28.0,31.97
376.0,214.6,1003.5,762.4,56.0,36.3
376.0,214.6,1003.5,762.4,100.0,43.06
500.0,140.0,966.0,853.0,28.0,67.57
475.0,142.0,1098.0,641.0,28.0,57.23
315.0,145.0,1130.0,745.0,28.0,81.75
505.0,195.0,1030.0,630.0,28.0,64.02
451.0,165.0,1030.0,745.0,28.0,78.8
516.0,162.0,801.0,802.0,28.0,41.37
520.0,170.0,855.0,855.0,28.0,60.28
528.0,185.0,920.0,720.0,28.0,56.83
520.0,175.0,870.0,805.0,28.0,51.02
385.0,158.0,903.0,768.0,28.0,55.55
500.1,200.0,1124.4,613.2,28.0,44.13
450.1,200.0,1124.4,613.2,28.0,39.38
397.0,167.0,967.0,633.0,28.0,55.65
333.0,167.0,996.0,652.0,28.0,47.28
334.0,189.0,967.0,633.0,28.0,44.33
405.0,175.0,1120.0,695.0,28.0,52.3
200.0,190.0,1145.0,660.0,28.0,49.25
516.0,162.0,801.0,802.0,28.0,41.37
145.0,184.0,833.0,880.0,28.0,29.16
160.0,182.0,824.0,879.0,28.0,39.4
234.0,189.0,981.0,760.0,28.0,39.3
250.0,159.0,860.0,800.0,28.0,67.87
475.0,162.0,1044.0,662.0,28.0,58.52
285.0,163.0,1031.0,685.0,28.0,53.58
356.0,160.0,1061.0,657.0,28.0,59.0
275.0,162.0,830.0,765.0,28.0,76.24
500.0,151.0,1033.0,655.0,28.0,69.84
165.0,163.8,1005.6,900.9,3.0,14.4
165.0,175.1,1005.8,746.6,3.0,19.42
178.0,179.9,1007.3,746.8,3.0,20.73
167.4,175.5,1006.3,746.6,3.0,14.94
172.4,156.8,1006.3,856.4,3.0,21.29
173.5,164.8,1006.2,793.5,3.0,23.08
167.0,164.0,1007.3,770.1,3.0,15.52
173.8,172.3,1007.2,746.6,3.0,15.82
190.3,166.6,1079.0,798.9,3.0,12.55
250.0,191.8,948.9,857.2,3.0,8.49
213.5,159.2,1043.6,771.9,3.0,15.61
194.7,170.2,998.0,901.8,3.0,12.18
251.4,192.9,1043.6,754.3,3.0,11.98
165.0,163.8,1005.6,900.9,14.0,16.88
165.0,175.1,1005.8,746.6,14.0,33.09
178.0,179.9,1007.3,746.8,14.0,34.24
167.4,175.5,1006.3,746.6,14.0,31.81
172.4,156.8,1006.3,856.4,14.0,29.75
173.5,164.8,1006.2,793.5,14.0,33.01
167.0,164.0,1007.3,770.1,14.0,32.9
173.8,172.3,1007.2,746.6,14.0,29.55
190.3,166.6,1079.0,798.9,14.0,19.42
250.0,191.8,948.9,857.2,14.0,24.66
213.5,159.2,1043.6,771.9,14.0,29.59
194.7,170.2,998.0,901.8,14.0,24.28
251.4,192.9,1043.6,754.3,14.0,20.73
165.0,163.8,1005.6,900.9,28.0,26.2
165.0,175.1,1005.8,746.6,28.0,46.39
178.0,179.9,1007.3,746.8,28.0,39.16
167.4,175.5,1006.3,746.6,28.0,41.2
172.4,156.8,1006.3,856.4,28.0,33.69
173.5,164.8,1006.2,793.5,28.0,38.2
167.0,164.0,1007.3,770.1,28.0,41.41
173.8,172.3,1007.2,746.6,28.0,37.81
190.3,166.6,1079.0,798.9,28.0,24.85
250.0,191.8,948.9,857.2,28.0,27.22
213.5,159.2,1043.6,771.9,28.0,44.64
194.7,170.2,998.0,901.8,28.0,37.27
251.4,192.9,1043.6,754.3,28.0,33.27
165.0,163.8,1005.6,900.9,56.0,36.56
165.0,175.1,1005.8,746.6,56.0,53.72
178.0,179.9,1007.3,746.8,56.0,48.59
167.4,175.5,1006.3,746.6,56.0,51.72
172.4,156.8,1006.3,856.4,56.0,35.85
173.5,164.8,1006.2,793.5,56.0,53.77
167.0,164.0,1007.3,770.1,56.0,53.46
173.8,172.3,1007.2,746.6,56.0,48.99
190.3,166.6,1079.0,798.9,56.0,31.72
250.0,191.8,948.9,857.2,56.0,39.64
213.5,159.2,1043.6,771.9,56.0,51.26
194.7,170.2,998.0,901.8,56.0,43.39
251.4,192.9,1043.6,754.3,56.0,39.27
165.0,163.8,1005.6,900.9,100.0,37.96
165.0,175.1,1005.8,746.6,100.0,55.02
178.0,179.9,1007.3,746.8,100.0,49.99
167.4,175.5,1006.3,746.6,100.0,53.66
172.4,156.8,1006.3,856.4,100.0,37.68
173.5,164.8,1006.2,793.5,100.0,56.06
167.0,164.0,1007.3,770.1,100.0,56.81
173.8,172.3,1007.2,746.6,100.0,50.94
190.3,166.6,1079.0,798.9,100.0,33.56
250.0,191.8,948.9,857.2,100.0,41.16
213.5,159.2,1043.6,771.9,100.0,52.96
194.7,170.2,998.0,901.8,100.0,44.28
251.4,192.9,1043.6,754.3,100.0,40.15
446.0,162.0,967.0,712.0,28.0,57.03
446.0,162.0,967.0,712.0,28.0,44.42
446.0,162.0,967.0,712.0,28.0,51.02
446.0,162.0,967.0,712.0,28.0,53.39
446.0,162.0,967.0,712.0,3.0,35.36
446.0,162.0,967.0,712.0,3.0,25.02
446.0,162.0,967.0,712.0,3.0,23.35
446.0,162.0,967.0,712.0,7.0,52.01
446.0,162.0,967.0,712.0,7.0,38.02
446.0,162.0,967.0,712.0,7.0,39.3
446.0,162.0,967.0,712.0,56.0,61.07
446.0,162.0,967.0,712.0,56.0,56.14
446.0,162.0,967.0,712.0,56.0,55.25
446.0,162.0,967.0,712.0,56.0,54.77
387.0,157.0,938.0,845.0,28.0,50.24
387.0,157.0,938.0,845.0,28.0,46.68
387.0,157.0,938.0,845.0,28.0,46.68
387.0,157.0,938.0,845.0,3.0,22.75
387.0,157.0,938.0,845.0,3.0,25.51
387.0,157.0,938.0,845.0,3.0,34.77
387.0,157.0,938.0,845.0,7.0,36.84
387.0,157.0,938.0,845.0,7.0,45.9
387.0,157.0,938.0,845.0,7.0,41.67
387.0,157.0,938.0,845.0,56.0,56.34
387.0,157.0,938.0,845.0,56.0,47.97
387.0,157.0,938.0,845.0,56.0,61.46
355.0,145.0,967.0,871.0,28.0,44.03
355.0,145.0,967.0,871.0,28.0,55.45
491.0,210.0,882.0,699.0,28.0,55.55
491.0,201.0,822.0,699.0,28.0,57.92
491.0,210.0,882.0,699.0,3.0,25.61
491.0,210.0,882.0,699.0,7.0,33.49
491.0,210.0,882.0,699.0,56.0,59.59
491.0,201.0,822.0,699.0,3.0,29.55
491.0,201.0,822.0,699.0,7.0,37.92
491.0,201.0,822.0,699.0,56.0,61.86
424.0,178.0,822.0,750.0,28.0,62.05
424.0,178.0,882.0,750.0,3.0,32.01
424.0,168.0,822.0,750.0,28.0,72.1
424.0,178.0,822.0,750.0,7.0,39.0
424.0,178.0,822.0,750.0,56.0,65.7
424.0,168.0,822.0,750.0,3.0,32.11
424.0,168.0,822.0,750.0,7.0,40.29
424.0,168.0,822.0,750.0,56.0,74.36
202.0,206.0,942.0,801.0,28.0,21.97
202.0,206.0,942.0,801.0,3.0,9.85
202.0,206.0,942.0,801.0,7.0,15.07
202.0,206.0,942.0,801.0,56.0,23.25
284.0,179.0,842.0,801.0,28.0,43.73
284.0,179.0,842.0,801.0,3.0,13.4
284.0,179.0,842.0,801.0,7.0,24.13
284.0,179.0,842.0,801.0,56.0,44.52
359.0,154.0,942.0,801.0,28.0,62.94
359.0,154.0,942.0,801.0,28.0,59.49
359.0,154.0,942.0,801.0,3.0,25.12
359.0,154.0,942.0,801.0,3.0,23.64
359.0,154.0,942.0,801.0,7.0,35.75
359.0,154.0,942.0,801.0,7.0,38.61
359.0,154.0,942.0,801.0,56.0,68.75
359.0,154.0,942.0,801.0,56.0,66.78
436.0,218.0,838.4,719.7,28.0,23.85
289.0,192.0,913.2,895.3,90.0,32.07
289.0,192.0,913.2,895.3,3.0,11.65
393.0,192.0,940.6,785.6,3.0,19.2
393.0,192.0,940.6,785.6,90.0,48.85
393.0,192.0,940.6,785.6,28.0,39.6
480.0,192.0,936.2,712.2,28.0,43.94
480.0,192.0,936.2,712.2,7.0,34.57
480.0,192.0,936.2,712.2,90.0,54.32
480.0,192.0,936.2,712.2,3.0,24.4
333.0,192.0,931.2,842.6,3.0,15.62
255.0,192.0,889.8,945.0,90.0,21.86
255.0,192.0,889.8,945.0,7.0,10.22
289.0,192.0,913.2,895.3,7.0,14.6
255.0,192.0,889.8,945.0,28.0,18.75
333.0,192.0,931.2,842.6,28.0,31.97
333.0,192.0,931.2,842.6,7.0,23.4
289.0,192.0,913.2,895.3,28.0,25.57
333.0,192.0,931.2,842.6,90.0,41.68
393.0,192.0,940.6,785.6,7.0,27.74
255.0,192.0,889.8,945.0,3.0,8.2
158.8,185.7,1040.6,734.3,7.0,9.62
239.6,185.7,941.6,664.3,7.0,25.42
238.2,185.7,1040.6,734.3,7.0,15.69
181.9,185.7,1012.4,714.3,28.0,27.94
193.5,185.7,998.2,704.3,28.0,32.63
255.5,185.7,1026.6,724.3,7.0,17.24
272.8,185.7,1012.4,714.3,7.0,19.77
239.6,185.7,941.6,664.3,28.0,39.44
220.8,185.7,1055.0,744.3,28.0,25.75
397.0,185.7,1040.6,734.3,28.0,33.08
382.5,185.7,1047.8,739.3,7.0,24.07
210.7,185.7,977.0,689.3,7.0,21.82
158.8,185.7,1040.6,734.3,28.0,21.07
295.8,185.7,1091.4,769.3,7.0,14.84
255.5,185.7,1026.6,724.3,28.0,32.05
203.5,185.7,1076.2,759.3,7.0,11.96
397.0,185.7,1040.6,734.3,7.0,25.45
381.4,185.7,1104.6,784.3,28.0,22.49
