Fresh,Milk,Grocery,Frozen,cluster
2446.0,7260.0,3993.0,5870.0,1
8352.0,2820.0,1293.0,779.0,0
16705.0,2037.0,3202.0,10643.0,0
18291.0,1266.0,21042.0,5373.0,2
4420.0,5139.0,2661.0,8872.0,3
19899.0,5332.0,8713.0,8132.0,0
8190.0,6343.0,9794.0,1285.0,2
20398.0,1137.0,3.0,4407.0,0
717.0,3587.0,6532.0,7530.0,3
12205.0,12697.0,28540.0,869.0,2
10766.0,1175.0,2067.0,2096.0,0
1640.0,3259.0,3655.0,868.0,2
7005.0,829.0,3009.0,430.0,0
219.0,9540.0,14403.0,283.0,2
10362.0,9232.0,11009.0,737.0,2
20874.0,1563.0,1783.0,2320.0,0
11867.0,3327.0,4814.0,1178.0,0
16117.0,46197.0,92780.0,1026.0,2
22925.0,73498.0,32114.0,987.0,1
43265.0,5025.0,8117.0,6312.0,0
7864.0,542.0,4042.0,9735.0,3
24904.0,3836.0,5330.0,3443.0,0
11405.0,596.0,1638.0,3347.0,0
12754.0,2762.0,2530.0,8693.0,0
9198.0,27472.0,32034.0,3232.0,2
11314.0,3090.0,2062.0,35009.0,3
5626.0,12220.0,11323.0,206.0,1
3.0,2920.0,6252.0,440.0,2
23.0,2616.0,8118.0,145.0,2
403.0,254.0,610.0,774.0,3
503.0,112.0,778.0,895.0,3
9658.0,2182.0,1909.0,5639.0,0
11594.0,7779.0,12144.0,3252.0,2
1420.0,10810.0,16267.0,1593.0,2
2932.0,6459.0,7677.0,2561.0,2
56082.0,3504.0,8906.0,18028.0,0
14100.0,2132.0,3445.0,1336.0,0
15587.0,1014.0,3970.0,910.0,0
1454.0,6337.0,10704.0,133.0,2
8797.0,10646.0,14886.0,2471.0,2
1531.0,8397.0,6981.0,247.0,1
1406.0,16729.0,28986.0,673.0,2
11818.0,1648.0,1694.0,2276.0,0
12579.0,11114.0,17569.0,805.0,2
19046.0,2770.0,2469.0,8853.0,0
14438.0,2295.0,1733.0,3220.0,0
18044.0,1080.0,2000.0,2555.0,0
11134.0,793.0,2988.0,2715.0,0
11173.0,2521.0,3355.0,1517.0,0
6990.0,3880.0,5380.0,1647.0,0
20049.0,1891.0,2362.0,5343.0,0
8258.0,2344.0,2147.0,3896.0,0
17160.0,1200.0,3412.0,2417.0,0
4020.0,3234.0,1498.0,2395.0,0
12212.0,201.0,245.0,1991.0,0
11170.0,10769.0,8814.0,2194.0,0
36050.0,1642.0,2961.0,4787.0,0
76237.0,3473.0,7102.0,16538.0,0
19219.0,1840.0,1658.0,8195.0,0
21465.0,7243.0,10685.0,880.0,0
140.0,8847.0,3823.0,142.0,1
42312.0,926.0,1510.0,1718.0,0
7149.0,2428.0,699.0,6316.0,0
2101.0,589.0,314.0,346.0,0
14903.0,2032.0,2479.0,576.0,0
9434.0,1042.0,1235.0,436.0,0
7388.0,1882.0,2174.0,720.0,0
6300.0,1289.0,2591.0,1170.0,0
4625.0,8579.0,7030.0,4575.0,1
3087.0,8080.0,8282.0,661.0,2
13537.0,4257.0,5034.0,155.0,0
5387.0,4979.0,3343.0,825.0,0
17623.0,4280.0,7305.0,2279.0,0
30379.0,13252.0,5189.0,321.0,0
37036.0,7152.0,8253.0,2995.0,0
10405.0,1596.0,1096.0,8425.0,0
18827.0,3677.0,1988.0,118.0,0
22039.0,8384.0,34792.0,42.0,2
7769.0,1936.0,2177.0,926.0,0
9203.0,3373.0,2707.0,1286.0,0
5924.0,584.0,542.0,4052.0,0
31812.0,1433.0,1651.0,800.0,0
16225.0,1825.0,1765.0,853.0,0
1289.0,3328.0,2022.0,531.0,1
18840.0,1371.0,3135.0,3001.0,0
3463.0,9250.0,2368.0,779.0,1
622.0,55.0,137.0,75.0,0
1989.0,10690.0,19460.0,233.0,2
3830.0,5291.0,14855.0,317.0,2
17773.0,1366.0,2474.0,3378.0,0
2861.0,6570.0,9618.0,930.0,2
355.0,7704.0,14682.0,398.0,2
1725.0,3651.0,12822.0,824.0,2
12434.0,540.0,283.0,1092.0,0
15177.0,2024.0,3810.0,2665.0,0
5531.0,15726.0,26870.0,2367.0,2
5224.0,7603.0,8584.0,2540.0,2
15615.0,12653.0,19858.0,4425.0,2
4822.0,6721.0,9170.0,993.0,2
2926.0,3195.0,3268.0,405.0,2
5809.0,735.0,803.0,1393.0,0
5414.0,717.0,2155.0,2399.0,0
260.0,8675.0,13430.0,1116.0,2
200.0,25862.0,19816.0,651.0,1
955.0,5479.0,6536.0,333.0,2
514.0,7677.0,19805.0,937.0,2
286.0,1208.0,5241.0,2515.0,2
2343.0,7845.0,11874.0,52.0,2
45640.0,6958.0,6536.0,7368.0,0
12759.0,7330.0,4533.0,1752.0,0
11002.0,7075.0,4945.0,1152.0,0
3157.0,4888.0,2500.0,4477.0,1
12356.0,6036.0,8887.0,402.0,0
112151.0,29627.0,18148.0,16745.0,0
694.0,8533.0,10518.0,443.0,2
36847.0,43950.0,20170.0,36534.0,1
327.0,918.0,4710.0,74.0,2
8170.0,6448.0,1139.0,2181.0,0
3009.0,521.0,854.0,3470.0,3
2438.0,8002.0,9819.0,6269.0,2
8040.0,7639.0,11687.0,2758.0,2
834.0,11577.0,11522.0,275.0,1
16936.0,6250.0,1981.0,7332.0,0
13624.0,295.0,1381.0,890.0,0
5509.0,1461.0,2251.0,547.0,0
180.0,3485.0,20292.0,959.0,2
7107.0,1012.0,2974.0,806.0,0
17023.0,5139.0,5230.0,7888.0,0
30624.0,7209.0,4897.0,18711.0,0
2427.0,7097.0,10391.0,1127.0,2
11686.0,2154.0,6824.0,3527.0,0
9670.0,2280.0,2112.0,520.0,0
3067.0,13240.0,23127.0,3941.0,2
4484.0,14399.0,24708.0,3549.0,2
25203.0,11487.0,9490.0,5065.0,0
583.0,685.0,2216.0,469.0,2
1956.0,891.0,5226.0,1383.0,2
1107.0,11711.0,23596.0,955.0,2
6373.0,780.0,950.0,878.0,0
2541.0,4737.0,6089.0,2946.0,2
1537.0,3748.0,5838.0,1859.0,2
5550.0,12729.0,16767.0,864.0,2
18567.0,1895.0,1393.0,1801.0,0
12119.0,28326.0,39694.0,4736.0,2
7291.0,1012.0,2062.0,1291.0,0
3317.0,6602.0,6861.0,1329.0,2
2362.0,6551.0,11364.0,913.0,2
2806.0,10765.0,15538.0,1374.0,2
2532.0,16599.0,36486.0,179.0,2
18044.0,1475.0,2046.0,2532.0,0
18.0,7504.0,15205.0,1285.0,2
4155.0,367.0,1390.0,2306.0,0
14755.0,899.0,1382.0,1765.0,0
5396.0,7503.0,10646.0,91.0,2
5041.0,1115.0,2856.0,7496.0,3
2790.0,2527.0,5265.0,5612.0,3
7274.0,659.0,1499.0,784.0,0
12680.0,3243.0,4157.0,660.0,0
20782.0,5921.0,9212.0,1759.0,0
4042.0,2204.0,1563.0,2286.0,0
1869.0,577.0,572.0,950.0,0
8656.0,2746.0,2501.0,6845.0,0
11072.0,5989.0,5615.0,8321.0,0
2344.0,10678.0,3828.0,1439.0,1
25962.0,1780.0,3838.0,638.0,0
964.0,4984.0,3316.0,937.0,1
15603.0,2703.0,3833.0,4260.0,0
1838.0,6380.0,2824.0,1218.0,1
8635.0,820.0,3047.0,2312.0,0
18692.0,3838.0,593.0,4634.0,0
7363.0,475.0,585.0,1112.0,0
47493.0,2567.0,3779.0,5243.0,0
22096.0,3575.0,7041.0,11422.0,0
24929.0,1801.0,2475.0,2216.0,0
18226.0,659.0,2914.0,3752.0,0
11210.0,3576.0,5119.0,561.0,0
6202.0,7775.0,10817.0,1183.0,2
3062.0,6154.0,13916.0,230.0,2
8885.0,2428.0,1777.0,1777.0,0
13569.0,346.0,489.0,2077.0,0
15671.0,5279.0,2406.0,559.0,0
8040.0,3795.0,2070.0,6340.0,0
3191.0,1993.0,1799.0,1730.0,0
6134.0,23133.0,33586.0,6746.0,2
6623.0,1860.0,4740.0,7683.0,3
29526.0,7961.0,16966.0,432.0,0
10379.0,17972.0,4748.0,4686.0,1
31614.0,489.0,1495.0,3242.0,0
11092.0,5008.0,5249.0,453.0,0
8475.0,1931.0,1883.0,5004.0,0
56083.0,4563.0,2124.0,6422.0,0
53205.0,4959.0,7336.0,3012.0,0
9193.0,4885.0,2157.0,327.0,0
7858.0,1110.0,1094.0,6818.0,0
23257.0,1372.0,1677.0,982.0,0
2153.0,1115.0,6684.0,4324.0,2
1073.0,9679.0,15445.0,61.0,2
5909.0,23527.0,13699.0,10155.0,1
572.0,9763.0,22182.0,2221.0,2
20893.0,1222.0,2576.0,3975.0,0
11908.0,8053.0,19847.0,1069.0,2
15218.0,258.0,1138.0,2516.0,0
4720.0,1032.0,975.0,5500.0,3
2083.0,5007.0,1563.0,1120.0,1
514.0,8323.0,6869.0,529.0,1
36817.0,3045.0,1493.0,4802.0,0
894.0,1703.0,1841.0,744.0,2
680.0,1610.0,223.0,862.0,1
27901.0,3749.0,6964.0,4479.0,0
9061.0,829.0,683.0,16919.0,3
11693.0,2317.0,2543.0,5845.0,0
17360.0,6200.0,9694.0,1293.0,0
3366.0,2884.0,2431.0,977.0,0
12238.0,7108.0,6235.0,1093.0,0
49063.0,3965.0,4252.0,5970.0,0
25767.0,3613.0,2013.0,10303.0,0
68951.0,4411.0,12609.0,8692.0,0
40254.0,640.0,3600.0,1042.0,0
7149.0,2247.0,1242.0,1619.0,0
15354.0,2102.0,2828.0,8366.0,0
16260.0,594.0,1296.0,848.0,0
42786.0,286.0,471.0,1388.0,0
2708.0,2160.0,2642.0,502.0,0
6022.0,3354.0,3261.0,2507.0,0
2838.0,3086.0,4329.0,3838.0,2
3996.0,11103.0,12469.0,902.0,2
21273.0,2013.0,6550.0,909.0,0
7588.0,1897.0,5234.0,417.0,0
19087.0,1304.0,3643.0,3045.0,0
8090.0,3199.0,6986.0,1455.0,0
6758.0,4560.0,9965.0,934.0,2
444.0,879.0,2060.0,264.0,2
16448.0,6243.0,6360.0,824.0,0
5283.0,13316.0,20399.0,1809.0,2
2886.0,5302.0,9785.0,364.0,2
2599.0,3688.0,13829.0,492.0,2
161.0,7460.0,24773.0,617.0,2
243.0,12939.0,8852.0,799.0,1
6468.0,12867.0,21570.0,1840.0,2
17327.0,2374.0,2842.0,1149.0,0
6987.0,1020.0,3007.0,416.0,0
918.0,20655.0,13567.0,1465.0,1
7034.0,1492.0,2405.0,12569.0,3
29635.0,2335.0,8280.0,3046.0,0
2137.0,3737.0,19172.0,1274.0,2
9784.0,925.0,2405.0,4447.0,0
10617.0,1795.0,7647.0,1483.0,0
1479.0,14982.0,11924.0,662.0,1
7127.0,1375.0,2201.0,2679.0,0
1182.0,3088.0,6114.0,978.0,2
11800.0,2713.0,3558.0,2121.0,0
9759.0,25071.0,17645.0,1128.0,1
1774.0,3696.0,2280.0,514.0,1
9155.0,1897.0,5167.0,2714.0,0
15881.0,713.0,3315.0,3703.0,0
13360.0,944.0,11593.0,915.0,0
25977.0,3587.0,2464.0,2369.0,0
32717.0,16784.0,13626.0,60869.0,3
4414.0,1610.0,1431.0,3498.0,0
542.0,899.0,1664.0,414.0,2
16933.0,2209.0,3389.0,7849.0,0
5113.0,1486.0,4583.0,5127.0,3
9790.0,1786.0,5109.0,3570.0,0
11223.0,14881.0,26839.0,1234.0,2
22321.0,3216.0,1447.0,2208.0,0
8565.0,4980.0,67298.0,131.0,2
16823.0,928.0,2743.0,11559.0,0
27082.0,6817.0,10790.0,1365.0,0
13970.0,1511.0,1330.0,650.0,0
9351.0,1347.0,2611.0,8170.0,0
3.0,333.0,7021.0,15601.0,3
2617.0,1188.0,5332.0,9584.0,3
381.0,4025.0,9670.0,388.0,2
2320.0,5763.0,11238.0,767.0,2
255.0,5758.0,5923.0,349.0,2
1689.0,6964.0,26316.0,1456.0,2
3043.0,1172.0,1763.0,2234.0,0
1198.0,2602.0,8335.0,402.0,2
2771.0,6939.0,15541.0,2693.0,2
27380.0,7184.0,12311.0,2809.0,0
3428.0,2380.0,2028.0,1341.0,0
5981.0,14641.0,20521.0,2005.0,2
3521.0,1099.0,1997.0,1796.0,0
1210.0,10044.0,22294.0,1741.0,2
608.0,1106.0,1533.0,830.0,2
117.0,6264.0,21203.0,228.0,2
14039.0,7393.0,2548.0,6386.0,0
190.0,727.0,2012.0,245.0,2
22686.0,134.0,218.0,3157.0,0
37.0,1275.0,22272.0,137.0,2
759.0,18664.0,1660.0,6114.0,1
796.0,5878.0,2109.0,340.0,1
19746.0,2872.0,2006.0,2601.0,0
4734.0,607.0,864.0,1206.0,0
2121.0,1601.0,2453.0,560.0,2
4627.0,997.0,4438.0,191.0,0
2615.0,873.0,1524.0,1103.0,0
4692.0,6128.0,8025.0,1619.0,2
9561.0,2217.0,1664.0,1173.0,0
3477.0,894.0,534.0,1457.0,0
22335.0,1196.0,2406.0,2046.0,0
6211.0,337.0,683.0,1089.0,0
39679.0,3944.0,4955.0,1364.0,0
20105.0,1887.0,1939.0,8164.0,0
3884.0,3801.0,1641.0,876.0,0
15076.0,6257.0,7398.0,1504.0,0
6338.0,2256.0,1668.0,1492.0,0
5841.0,1450.0,1162.0,597.0,0
3136.0,8630.0,13586.0,5641.0,2
38793.0,3154.0,2648.0,1034.0,0
3225.0,3294.0,1902.0,282.0,1
4048.0,5164.0,10391.0,130.0,2
28257.0,944.0,2146.0,3881.0,0
17770.0,4591.0,1617.0,9927.0,0
34454.0,7435.0,8469.0,2540.0,0
1821.0,1364.0,3450.0,4006.0,3
10683.0,21858.0,15400.0,3635.0,1
11635.0,922.0,1614.0,2583.0,0
1206.0,3620.0,2857.0,1945.0,1
20918.0,1916.0,1573.0,1960.0,0
9785.0,848.0,1172.0,1677.0,0
9385.0,1530.0,1422.0,3019.0,0
3352.0,1181.0,1328.0,5502.0,3
2647.0,2761.0,2313.0,907.0,1
518.0,4180.0,3600.0,659.0,1
23632.0,6730.0,3842.0,8620.0,0
12377.0,865.0,3204.0,1398.0,0
9602.0,1316.0,1263.0,2921.0,0
4515.0,11991.0,9345.0,2644.0,1
11535.0,1666.0,1428.0,6838.0,0
11442.0,1032.0,582.0,5390.0,0
9612.0,577.0,935.0,1601.0,0
4446.0,906.0,1238.0,3576.0,0
27167.0,2801.0,2128.0,13223.0,0
26539.0,4753.0,5091.0,220.0,0
25606.0,11006.0,4604.0,127.0,0
18073.0,4613.0,3444.0,4324.0,0
6884.0,1046.0,1167.0,2069.0,0
25066.0,5010.0,5026.0,9806.0,0
7362.0,12844.0,18683.0,2854.0,2
8257.0,3880.0,6407.0,1646.0,0
8708.0,3634.0,6100.0,2349.0,0
6633.0,2096.0,4563.0,1389.0,0
2126.0,3289.0,3281.0,1535.0,1
97.0,3605.0,12400.0,98.0,2
4983.0,4859.0,6633.0,17866.0,3
5969.0,1990.0,3417.0,5679.0,0
7842.0,6046.0,8552.0,1691.0,2
4389.0,10940.0,10908.0,848.0,1
5065.0,5499.0,11055.0,364.0,2
660.0,8494.0,18622.0,133.0,2
8861.0,3783.0,2223.0,633.0,0
4456.0,5266.0,13227.0,25.0,2
17063.0,4847.0,9053.0,1031.0,0
26400.0,1377.0,4172.0,830.0,0
17565.0,3686.0,4657.0,1059.0,0
16980.0,2884.0,12232.0,874.0,0
11243.0,2408.0,2593.0,15348.0,3
13134.0,9347.0,14316.0,3141.0,2
31012.0,16687.0,5429.0,15082.0,0
3047.0,5970.0,4910.0,2198.0,1
8607.0,1750.0,3580.0,47.0,0
3097.0,4230.0,16483.0,575.0,2
8533.0,5506.0,5160.0,13486.0,3
21117.0,1162.0,4754.0,269.0,0
1982.0,3218.0,1493.0,1541.0,1
16731.0,3922.0,7994.0,688.0,0
29703.0,12051.0,16027.0,13135.0,0
39228.0,1431.0,764.0,4510.0,0
14531.0,15488.0,30243.0,437.0,2
10290.0,1981.0,2232.0,1038.0,0
2787.0,1698.0,2510.0,65.0,0
